Borough,Zipcode,Year,Month,Average Sale Price
Manhattan,10463,2021,September,860000
Manhattan,10001,2021,October,6494177.158
Manhattan,10002,2021,October,1796493.987
Manhattan,10003,2021,October,2891641.093
Manhattan,10004,2021,October,889464.2857
Manhattan,10005,2021,October,1029133.333
Manhattan,10006,2021,October,27181666.67
Manhattan,10007,2021,October,3575126.882
Manhattan,10009,2021,October,1127545.455
Manhattan,10010,2021,October,1850320.958
Manhattan,10011,2021,October,2568432.278
Manhattan,10012,2021,October,2224480.938
Manhattan,10013,2021,October,4526581.153
Manhattan,10014,2021,October,3179206.588
Manhattan,10016,2021,October,1072974.043
Manhattan,10017,2021,October,10261097.57
Manhattan,10018,2021,October,15843500
Manhattan,10019,2021,October,10217158.59
Manhattan,10021,2021,October,1508542.784
Manhattan,10022,2021,October,1924066.505
Manhattan,10023,2021,October,1665573.759
Manhattan,10024,2021,October,2130193.651
Manhattan,10025,2021,October,2555993.482
Manhattan,10026,2021,October,4030374.944
Manhattan,10027,2021,October,1079225.795
Manhattan,10028,2021,October,1924908.807
Manhattan,10029,2021,October,1204807.25
Manhattan,10030,2021,October,15125794.2
Manhattan,10031,2021,October,2538096.625
Manhattan,10032,2021,October,704167.7778
Manhattan,10033,2021,October,1286772.727
Manhattan,10034,2021,October,3565750
Manhattan,10035,2021,October,1193033.333
Manhattan,10036,2021,October,1436561.7
Manhattan,10038,2021,October,2142765.044
Manhattan,10039,2021,October,595277.7778
Manhattan,10040,2021,October,305357.1429
Manhattan,10044,2021,October,459809.8431
Manhattan,10065,2021,October,2264986.842
Manhattan,10069,2021,October,1665000
Manhattan,10075,2021,October,1834036.163
Manhattan,10128,2021,October,1382978.563
Manhattan,10280,2021,October,779369.0476
Manhattan,10282,2021,October,2800000
Manhattan,10001,2021,November,1900680.478
Manhattan,10002,2021,November,1676136.333
Manhattan,10003,2021,November,2055274.648
Manhattan,10004,2021,November,755435.5
Manhattan,10005,2021,November,887500
Manhattan,10006,2021,November,2636705.357
Manhattan,10007,2021,November,2638000
Manhattan,10009,2021,November,1171193.548
Manhattan,10010,2021,November,1604972.767
Manhattan,10011,2021,November,2642320.486
Manhattan,10012,2021,November,1719108.114
Manhattan,10013,2021,November,5629221.41
Manhattan,10014,2021,November,3335853.981
Manhattan,10016,2021,November,15807438.21
Manhattan,10017,2021,November,863458.2439
